TrialTag	ABTag	CDTag	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeCorr	ProbeArr	AB	CD	Probe
thirst:drink::happiness:smile	None	happiness:smile	None	3	None	8	0	0	0	1	0
thirst:drink::happiness:smile	thirst:drink	happiness:smile	3	3	8	8	l	2	0	0	1
right:bad::advertise:promote	right:bad	None	2	None	6	None	0	0	1	0	0
right:bad::advertise:promote	None	advertise:promote	None	3	None	9	0	0	0	1	0
right:bad::advertise:promote	right:bad	advertise:promote	2	3	6	9	l	1	0	0	1
couch:sofa::kid:child	couch:sofa	None	1	None	1	None	0	0	1	0	0
couch:sofa::kid:child	None	kid:child	None	1	None	1	0	0	0	1	0
couch:sofa::kid:child	couch:sofa	kid:child	1	1	1	1	l	2	0	0	1
ladder:stairs::bathe:clean	ladder:stairs	None	1	None	2	None	0	0	1	0	0
ladder:stairs::bathe:clean	None	bathe:clean	None	3	None	9	0	0	0	1	0
ladder:stairs::bathe:clean	ladder:stairs	bathe:clean	1	3	2	9	a	2	0	0	1
interior:exterior::below:above	interior:exterior	None	2	None	5	None	0	0	1	0	0
interior:exterior::below:above	None	below:above	None	2	None	5	0	0	0	1	0
interior:exterior::below:above	interior:exterior	below:above	2	2	5	5	l	2	0	0	1
death:population::start:finish	death:population	None	1	None	3	None	0	0	1	0	0
death:population::start:finish	None	start:finish	None	2	None	5	0	0	0	1	0
death:population::start:finish	death:population	start:finish	1	2	3	5	l	1	0	0	1
repetition:boredom::good:wrong	repetition:boredom	None	3	None	7	None	0	0	1	0	0
repetition:boredom::good:wrong	None	good:wrong	None	2	None	6	0	0	0	1	0
repetition:boredom::good:wrong	repetition:boredom	good:wrong	3	2	7	6	a	2	0	0	1
forward:backward::north:south	forward:backward	None	2	None	5	None	0	0	1	0	0
forward:backward::north:south	None	north:south	None	2	None	5	0	0	0	1	0
forward:backward::north:south	forward:backward	north:south	2	2	5	5	a	1	0	0	1
tragedy:tears::exercise:fitness	tragedy:tears	None	3	None	7	None	0	0	1	0	0
tragedy:tears::exercise:fitness	None	exercise:fitness	None	3	None	7	0	0	0	1	0
tragedy:tears::exercise:fitness	tragedy:tears	exercise:fitness	3	3	7	7	a	1	0	0	1
raise:salary::shorten:distance	raise:salary	None	1	None	3	None	0	0	1	0	0
raise:salary::shorten:distance	None	shorten:distance	None	1	None	3	0	0	0	1	0
raise:salary::shorten:distance	raise:salary	shorten:distance	1	1	3	3	l	2	0	0	1
big:small::difficult:easy	big:small	None	2	None	4	None	0	0	1	0	0
big:small::difficult:easy	None	difficult:easy	None	2	None	4	0	0	0	1	0
big:small::difficult:easy	big:small	difficult:easy	2	2	4	4	a	1	0	0	1
accept:reject::chair:sofa	accept:reject	None	2	None	4	None	0	0	1	0	0
accept:reject::chair:sofa	None	chair:sofa	None	1	None	2	0	0	0	1	0
accept:reject::chair:sofa	accept:reject	chair:sofa	2	1	4	2	l	1	0	0	1
in:out::loneliness:socialize	in:out	None	2	None	5	None	0	0	1	0	0
in:out::loneliness:socialize	None	loneliness:socialize	None	3	None	8	0	0	0	1	0
in:out::loneliness:socialize	in:out	loneliness:socialize	2	3	5	8	l	1	0	0	1
dim:light::coldness:shiver	dim:light	None	1	None	3	None	0	0	1	0	0
dim:light::coldness:shiver	None	coldness:shiver	None	3	None	8	0	0	0	1	0
dim:light::coldness:shiver	dim:light	coldness:shiver	1	3	3	8	a	2	0	0	1
east:west::front:back	east:west	None	2	None	5	None	0	0	1	0	0
east:west::front:back	None	front:back	None	2	None	5	0	0	0	1	0
east:west::front:back	east:west	front:back	2	2	5	5	a	1	0	0	1
black:white::pretty:ugly	black:white	None	2	None	4	None	0	0	1	0	0
black:white::pretty:ugly	None	pretty:ugly	None	2	None	4	0	0	0	1	0
black:white::pretty:ugly	black:white	pretty:ugly	2	2	4	4	l	2	0	0	1
exercise:healthy::burnish:shine	exercise:healthy	None	3	None	9	None	0	0	1	0	0
exercise:healthy::burnish:shine	None	burnish:shine	None	3	None	9	0	0	0	1	0
exercise:healthy::burnish:shine	exercise:healthy	burnish:shine	3	3	9	9	l	2	0	0	1
tragedy:tears::rich:poor	tragedy:tears	None	3	None	7	None	0	0	1	0	0
tragedy:tears::rich:poor	None	rich:poor	None	2	None	4	0	0	0	1	0
tragedy:tears::rich:poor	tragedy:tears	rich:poor	3	2	7	4	a	2	0	0	1
option:choice::high:down	option:choice	None	1	None	1	None	0	0	1	0	0
option:choice::high:down	None	high:down	None	2	None	6	0	0	0	1	0
option:choice::high:down	option:choice	high:down	1	2	1	6	a	2	0	0	1
up:down::fire:burns	up:down	None	2	None	5	None	0	0	1	0	0
up:down::fire:burns	None	fire:burns	None	3	None	7	0	0	0	1	0
up:down::fire:burns	up:down	fire:burns	2	3	5	7	l	1	0	0	1
ladder:stairs::table:desk	ladder:stairs	None	1	None	2	None	0	0	1	0	0
ladder:stairs::table:desk	None	table:desk	None	1	None	2	0	0	0	1	0
ladder:stairs::table:desk	ladder:stairs	table:desk	1	1	2	2	a	1	0	0	1
tiredness:rest::big:large	tiredness:rest	None	3	None	8	None	0	0	1	0	0
tiredness:rest::big:large	None	big:large	None	1	None	1	0	0	0	1	0
tiredness:rest::big:large	tiredness:rest	big:large	3	1	8	1	l	1	0	0	1
run:sprint::study:learn	run:sprint	None	1	None	1	None	0	0	1	0	0
run:sprint::study:learn	None	study:learn	None	3	None	9	0	0	0	1	0
run:sprint::study:learn	run:sprint	study:learn	1	3	1	9	a	2	0	0	1
fright:scream::heat:sweat	fright:scream	None	3	None	8	None	0	0	1	0	0
fright:scream::heat:sweat	None	heat:sweat	None	3	None	8	0	0	0	1	0
fright:scream::heat:sweat	fright:scream	heat:sweat	3	3	8	8	a	1	0	0	1
boat:ship::pants:trousers	boat:ship	None	1	None	1	None	0	0	1	0	0
boat:ship::pants:trousers	None	pants:trousers	None	1	None	1	0	0	0	1	0
boat:ship::pants:trousers	boat:ship	pants:trousers	1	1	1	1	a	1	0	0	1
stimulus:response::joke:laughter	stimulus:response	None	3	None	7	None	0	0	1	0	0
stimulus:response::joke:laughter	None	joke:laughter	None	3	None	7	0	0	0	1	0
stimulus:response::joke:laughter	stimulus:response	joke:laughter	3	3	7	7	a	1	0	0	1
rise:sink::under:over	rise:sink	None	2	None	5	None	0	0	1	0	0
rise:sink::under:over	None	under:over	None	2	None	5	0	0	0	1	0
rise:sink::under:over	rise:sink	under:over	2	2	5	5	a	1	0	0	1
sickness:medicate::danger:flee	sickness:medicate	None	3	None	8	None	0	0	1	0	0
sickness:medicate::danger:flee	None	danger:flee	None	3	None	8	0	0	0	1	0
sickness:medicate::danger:flee	sickness:medicate	danger:flee	3	3	8	8	l	2	0	0	1
pillow:cushion::rake:fork	pillow:cushion	None	1	None	2	None	0	0	1	0	0
pillow:cushion::rake:fork	None	rake:fork	None	1	None	2	0	0	0	1	0
pillow:cushion::rake:fork	pillow:cushion	rake:fork	1	1	2	2	l	2	0	0	1
thirsty:drink::fence:hedge	thirsty:drink	None	3	None	8	None	0	0	1	0	0
thirsty:drink::fence:hedge	None	fence:hedge	None	1	None	2	0	0	0	1	0
thirsty:drink::fence:hedge	thirsty:drink	fence:hedge	3	1	8	2	a	2	0	0	1
spin:twirl::house:home	spin:twirl	None	1	None	1	None	0	0	1	0	0
spin:twirl::house:home	None	house:home	None	1	None	1	0	0	0	1	0
spin:twirl::house:home	spin:twirl	house:home	1	1	1	1	a	1	0	0	1
disease:sickness::injury:pain	disease:sickness	None	3	None	7	None	0	0	1	0	0
disease:sickness::injury:pain	None	injury:pain	None	3	None	7	0	0	0	1	0
disease:sickness::injury:pain	disease:sickness	injury:pain	3	3	7	7	a	1	0	0	1
ignite:burn::majority:small	ignite:burn	None	3	None	9	None	0	0	1	0	0
ignite:burn::majority:small	None	majority:small	None	2	None	6	0	0	0	1	0
ignite:burn::majority:small	ignite:burn	majority:small	3	2	9	6	l	1	0	0	1
trim:shorten::high:low	trim:shorten	None	3	None	9	None	0	0	1	0	0
trim:shorten::high:low	None	high:low	None	2	None	5	0	0	0	1	0
trim:shorten::high:low	trim:shorten	high:low	3	2	9	5	a	2	0	0	1
loud:discreet::picture:drawing	loud:discreet	None	2	None	6	None	0	0	1	0	0
loud:discreet::picture:drawing	None	picture:drawing	None	1	None	2	0	0	0	1	0
loud:discreet::picture:drawing	loud:discreet	picture:drawing	2	1	6	2	a	2	0	0	1
fast:slow::bright:dark	fast:slow	None	2	None	4	None	0	0	1	0	0
fast:slow::bright:dark	None	bright:dark	None	2	None	4	0	0	0	1	0
fast:slow::bright:dark	fast:slow	bright:dark	2	2	4	4	l	2	0	0	1
force:pressure::speed:movement	force:pressure	None	1	None	3	None	0	0	1	0	0
force:pressure::speed:movement	None	speed:movement	None	1	None	3	0	0	0	1	0
force:pressure::speed:movement	force:pressure	speed:movement	1	1	3	3	l	2	0	0	1
death:population::flood:water	death:population	None	1	None	3	None	0	0	1	0	0
death:population::flood:water	None	flood:water	None	1	None	3	0	0	0	1	0
death:population::flood:water	death:population	flood:water	1	1	3	3	l	2	0	0	1
rise:tide::left:right	rise:tide	None	1	None	3	None	0	0	1	0	0
rise:tide::left:right	None	left:right	None	2	None	5	0	0	0	1	0
rise:tide::left:right	rise:tide	left:right	1	2	3	5	a	2	0	0	1
hill:mountain::anger:yell	hill:mountain	None	1	None	2	None	0	0	1	0	0
hill:mountain::anger:yell	None	anger:yell	None	3	None	8	0	0	0	1	0
hill:mountain::anger:yell	hill:mountain	anger:yell	1	3	2	8	l	1	0	0	1
day:evening::happiness:smile	day:evening	None	2	None	6	None	0	0	1	0	0
day:evening::happiness:smile	None	happiness:smile	None	3	None	8	0	0	0	1	0
day:evening::happiness:smile	day:evening	happiness:smile	2	3	6	8	l	1	0	0	1
warm:cool::read:learn	warm:cool	None	2	None	4	None	0	0	1	0	0
warm:cool::read:learn	None	read:learn	None	3	None	9	0	0	0	1	0
warm:cool::read:learn	warm:cool	read:learn	2	3	4	9	a	2	0	0	1
repetition:boredom::below:above	repetition:boredom	None	3	None	7	None	0	0	1	0	0
repetition:boredom::below:above	None	below:above	None	2	None	5	0	0	0	1	0
repetition:boredom::below:above	repetition:boredom	below:above	3	2	7	5	a	2	0	0	1
low:up::good:wrong	low:up	None	2	None	6	None	0	0	1	0	0
low:up::good:wrong	None	good:wrong	None	2	None	6	0	0	0	1	0
low:up::good:wrong	low:up	good:wrong	2	2	6	6	l	2	0	0	1
right:bad::obey:protest	right:bad	None	2	None	6	None	0	0	1	0	0
right:bad::obey:protest	None	obey:protest	None	2	None	6	0	0	0	1	0
right:bad::obey:protest	right:bad	obey:protest	2	2	6	6	a	1	0	0	1
pencil:pen::north:south	pencil:pen	None	1	None	2	None	0	0	1	0	0
pencil:pen::north:south	None	north:south	None	2	None	5	0	0	0	1	0
pencil:pen::north:south	pencil:pen	north:south	1	2	2	5	l	1	0	0	1
sleep:rest::advertise:promote	sleep:rest	None	3	None	9	None	0	0	1	0	0
sleep:rest::advertise:promote	None	advertise:promote	None	3	None	9	0	0	0	1	0
sleep:rest::advertise:promote	sleep:rest	advertise:promote	3	3	9	9	a	1	0	0	1
wash:clean::careful:cautious	wash:clean	None	3	None	9	None	0	0	1	0	0
wash:clean::careful:cautious	None	careful:cautious	None	1	None	1	0	0	0	1	0
